"GEMS TARIFF FOR ALL OTHER  PATHOLOGISTS
WITH EFFECT FROM 2026-01-01",,052-Pathology
4374,Trace metals in biological fluid: Atomic absorption ,R375.90
4375,Biochemical tests-Miscellaneous: Calcium in fluid: spectrophotometric,R75.10
4376,Biochemical tests-Miscellaneous: Calcium in fluid: atomic absorption,R150.20
4377,Gallstone analysis: (BilirubinCaPOxalateCholestrol,R453.50
4378,Urea Breath Test aine phosphatase,"R1,202.30"
4380,Biochemical tests-Miscellaneous: Lecithin in amniotic fluid: L/S ratio,R559.70
4381,Lamellar body count in amniotic fluid per specimen,R207.20
4382,Bilirubin in amniotic fluid: spectrophotometric assa ,R195.80
4386,Oestrogen,R428.90
4387,Biochemical tests-Miscellaneous: Oestrogen/Progesterone receptors,"R4,766.60"
4388,Gastric contents: Maximal stimulation test,R559.70
4389,Biochemical tests-Miscellaneous: Gastric fluid: total acid,R46.90
4390,Biochemical tests-Miscellaneous: Foam test: amniotic fluid,R65.30
4391,Biochemical tests-Miscellaneous: Renal calculus: chemistry,R112.00
4392,Biochemical tests-Miscellaneous: Renal calculus: crystallography,R336.90
4393,Biochemical tests-Miscellaneous: Saliva: potassium,R75.10
4394,Biochemical tests-Miscellaneous: Saliva: sodium,R75.10
4395,Biochemical tests-Miscellaneous: Sweat: sodium,R75.10
4396,Biochemical tests-Miscellaneous: Sweat: potassium,R75.10
4397,Biochemical tests-Miscellaneous: Sweat:: chloride,R53.70
4399,Biochemical tests-Miscellaneous: Sweat collection-iontophoresis,R93.40
4400,Biochemical tests-Miscellaneous: Tryptophane loading test,R457.10
4401,Cerebrospinal fluid: Cell count,R71.80
4407,Cerebrospinal fluid: Cell count,R158.70
4409,Cerebrospinal fluid: Chloride,R53.70
4415,Cerebrospinal fluid: Potassium,R75.10
4416,Cerebrospinal fluid: Sodium,R75.10
4417,Cerebrospinal fluid: Protein: qualitative,R18.50
4419,Cerebrospinal fluid: Protein: quantitative,R64.50
4421,Cerebrospinal fluid: Glucose,R75.10
4423,Cerebrospinal fluid: Urea,R75.10
4424,HLA test for specific allele DNA-PCR,R745.80
4425,Cerebrospinal fluid: Protein electrophoresis ACHE Test,R260.80
4426,HLA typing low resolution Class I DNA - PCR per locus,"R2,072.20"
4427,HLA typing low resolution Class II DNA-PCR per locus,"R1,533.50"
4428,HLA typing high resolution Class I or II DNA-PCR per allele,"R1,367.90"
4429,Quantitative PCR (DNA/RNA),"R1,563.50"
4430,Recombinant DNA technique. HIV p24 antigen,R518.10
4431,Ribosomal RNA targeting for bacteriological ident.,R725.70
4432,Ribosomal RNA amplification for bact. identification,"R1,554.40"
4433,Bacteriological DNA identification,R518.10
4434,Bacteriological DNA identification,"R1,554.40"
4435,Mixed antiglobulin reaction: Semen.,R136.90
4436,Friberg test: Semen ,R300.70
4437,Kremer test: Semen,R74.90
4439,Quantitative PCR - viral load (not HIV) - hepatitis C hepatitis B CMV etc.,"R3,108.50"
4440,Semen analysis: Cell count.,R158.70
4441,Semen analysis: Cytology.,R149.00
4442,Semen analysis: Viability + motility - 6 hours.,R124.10
4443,Semen analysis: supravital stain,R112.50
4444,Prostatic massage.,R93.40
4445,Seminal fluid: alpha glucosidase,R414.60
4446,Seminal fluid fructose ,R65.30
4447,Seminal fluid: acid phosphatase,R107.50
4448,HCG: Latex agglutination: qualitative (side room),R82.80
4449,HCG: Latex agglutination/tive: Slide test.,R192.70
4450,HCG: Monoclonal immunological: qualitative ,R207.20
4451,HCG: Monoclonal Immunological: Quantitive,R257.10
4452,Bone-Specific Alk. Phosphatase,R414.60
4455,Anti Ige receptor antibody test (10 samples),"R3,348.20"
4456,Eosinophyl cationic protein,R576.50
4457,Mast cell trypase,"R2,007.60"
4458,Micro-albuminuria: Radio-isotope method,R257.30
4459,Acetyl choline receptor antibody ,"R3,276.80"
4460,CA-199 tumour marker,R414.60
4461,Nuclear Matrix Protein 22,R725.70
4462,CA-125 tumour marker,R414.60
4463,C6 complement functional assay,R932.60
4464,House dust mite antigen ELIZA ,R421.00
4466,Isotopes: Beta-2-microglobulin,R257.30
4467,Chromograqnin A / Isotopes: Protein loss in stools,R974.10
4468,CA-549,R414.60
4469,Tumour markers: Monoclonal immunological (each),R414.60
4470,CA/195 Tumour marker,R414.60
4471,Isotopes: Carcino-embryonic antigen,R414.60
4472,MCA Antigen tumour marker,R414.60
4473,TSH Receptor Ab,R362.30
4474,Cast Per Allergen,R566.50
4475,Ca-724,R414.60
4476,Neopterin ,R414.60
4477,Neuron specific enolase ,R414.60
4478,Osteocalcin,R650.80
4479,Isotopes: Vit B12-absorption: Shilling test,R242.40
4480,Serotonin ,R388.90
4482,Isotopes: Free thyroxine(FT4),R362.30
4484,Thyrotropin (TSH)/Free Thyroxine (FT4),R768.50
4485,Isotopes: Insulin,R257.30
4486,C-Peptide,R257.30
4487,Calcitonin,R392.10
4488,B-Type Naturetic Peptide,R974.80
4490,Isotopes: Releasing hormone response,"R1,036.40"
4491,Isotopes: Vitamin B12,R257.30
4492,Vitamin D3: Calcitroil (RIA),"R1,554.40"
4493,Isotopes: Drug concentration: quantitative,R257.30
4494,Isotopes: Free hormone assay,R362.30
4495,Isotopes: Growth hormone,R257.30
4496,Isotopes: Hormone concentration: quantitative,R257.30
4497,Carbohydrate deficient transferrin ,R602.50
4499,Isotopes: Cortisol,R257.30
4500,Isotopes: DHEA sulphate,R257.30
4501,Isotopes: Testosterone,R257.30
4502,Isotopes: Free testosterone,R362.30
4503,Isotopes: Oestradiol,R257.30
4504,Anti-mullerian hormone,R0.00
4505,Isotopes: Oestroil,R223.90
4506,Multiple antigen specific IgE screening test for atopy.,R772.20
4507,Isotopes: Thyrotropin (TDH),R406.20
4508,Combined antigen specific IgE.,R507.30
4509,Isotopes: Free tri-iodothyronine (FT3),R362.30
4511,Isotopes: Renin activity,R392.10
4512,Isotopes: Parathormone,R353.90
4513,Isotopes: IgE: total,R257.30
4514,Isotopes: Antigen specific IgE.,R257.30
4515,Isotopes: Aldosterone,R257.30
4516,Isotopes: Follitropin (FSH),R257.30
4517,Isotopes: Lutropin (LH),R257.30
4518,Soluble Transferrin Receptor,R233.00
4519,Prostate Specific antigen,R300.60
4520,Isotopes: 17 Hydroxy progesterone,R257.30
4521,Isotopes: Progesterone,R257.30
4522,Isotopes: Alpha-feto protein,R257.30
4523,Isotopes: ACTH,R450.40
4524,Free PSA,R414.60
4526,Isotopes: Sex hormone binding globulin,R257.30
4527,Isotopes: Gastrin,R257.30
4528,Isotopes: Ferritin,R257.30
4529,Isotopes: Anti-DNA antibodies,R257.30
4530,Isotopes: Antiplatelet antibodies,R317.10
4531,Isotopes: Hepatitis: per antigen,R300.60
4532,Isotopes: Transcobalamine,R257.30
4533,Isotopes: Folic acid,R257.30
4534,Isotopes: Prostatic acid phosphatase,R257.30
4536,Isotopes: Erythrocyte folate,R362.30
4537,Isotopes: Prolactin,R257.30
4538,Procalcitonin - semi-quantitative,R663.20
4539,Isotopes: Human chorionic gonadotropin: qualitative,R953.40
4540,Isotopes: HCG: Quantitive as used for Down's screen.,R310.90
4542,Specimen handling fee,R0.00
4544,Attendance in theatre ,R559.70
4545,After hr. service: Travelling for nurses - home visits-per km,R3.18
4546,First trimester Downs screen,"R1,108.80"
4551,"Unlisted pathology service: Cost for items not listed in the current Pathology schedule (Sections 21, 22 and 23) will be based on the code for a comparable service in the coding structure. Please contact the SA Medical Association (SAMA) Private Practice Department via e-mail on coding@samedical.org to obtain a comparable code for the unlisted pathology service which will be based on the units for a comparable service in the coding structure. New items for these unlisted services should be added to the coding structure within six months or that specific unlisted pathology service should no longer be performed. Please note general rule C and item 6999 are not applicable to pathology services (Sections 21, 22 and 23).  ",R0.00
4552,Second Trimester Down's screen,R696.90
4553,Thyroglobulin. liver,R414.60
4554,SCC,R414.60
4555,Pharmacological preparations 17OH PROGETERONE +15 mins,R0.00
4559,Liquid Based Cytology 1st unit,R493.40
4560,Liquid-based Cytology additional Unit s,R164.50
4561,Exfoliative Cytology: First unit.,R320.20
4563,Exfoliative Cytology: Each additional unit.,R186.70
4564,Performance of fine-needle aspiration for cytology ,R358.60
4565,Examination of fine needle aspiration in theatre,"R2,150.80"
4566,Anatomic Pathology: Vaginal or cervical smears,R263.10
4567,Anatomic Pathology: Histology,R452.20
4571,Anatomic Pathology: Histology (more than two units),R262.50
4575,Anatomic Pathology: Histology and frozen section in lab.,R513.40
4577,Anatomic Pathology: Histology and tissue exam. in theatre,"R2,036.30"
4578,Second and subsequent frozen sections each,R452.20
4579,Anatomic Pathology: Attend. in theatre - no exam.,"R1,018.40"
4582,Serial step sections including histology.,R526.90
4584,Serial step sections,R305.10
4587,Anatomic Pathology: Histology consultation,R228.70
4589,Anatomic Pathology: Special stains,R151.60
4591,Anatomic Pathology: Immunofluorescence studies,R468.40
4592,Immunoperoxidase studies,R905.10
4593,Anatomic Pathology: Electron microscopy,"R2,126.80"
4595,Foetal autopsy excluding histology,"R1,651.60"
4600,Anti-CCP,R361.90
4601,Panel typing: Antibody detection: Class I,R745.80
4602,Panel typing: Antibody detection: Class II,R911.70
4603,HLA test for specific locus/antigen serology,R559.70
4604,HLA typing: Class I - serology,"R1,077.70"
4605,HLA typing: Class II - serology,"R1,077.70"
4606,HLA typing: Class I and II - serology,"R1,865.20"
4607,Crossmatching T-cells (per tray),R373.00
4608,Crossmatching B-cells,R787.30
4609,Crossmatching T- and B-cells,R994.90
4610,Helicobacter pylori stool antigen test,R717.00
4611,Erythropoietin,R414.60
4612,HTLV I/II,R414.60
4613,Anti-Gm1 Ab,"R1,554.40"
4614,HIV Ab Rapid Test,R248.80
4650,Antibiotic MIC per organism per antibiotic,R165.80
4651,Non-radiometric automated blood cultures,R288.20
4652,Rapid automated bacterial identification per organis,R310.90
4653,Rapid automated antibiotic susceptibility - organism,R352.40
4654,Rapid automated MIC per organism per antibiotic,R352.40
4655,Mycobacteria: MIC determination - E Test,R341.70
4656,Mycobacteria: Identification HPLC,R725.70
4657,Mycobacteria: Liquefied consentrated fluorochrome stain,R205.20
4750,Cell culture: Lymphocytes,R318.30
4751,Cell culture: Amniotic fluid,R955.20
4752,Cell culture: Chorionic villi ,"R1,273.70"
4754,Cytogenetic analysis: Lymphocytes: idiograms,"R2,865.40"
4755,Cytogenetic analysis: Amniotic fluid,"R5,730.90"
4757,Specified additional analysis e.g. mosaicism,"R1,485.70"
4760,FISH procedure,"R2,441.00"
4761,FISH analysis per probe system ,R742.60
4763,Blood: DNA extraction ,R955.20
4764,Blood: Genotype per person: Southern blotting ,"R1,889.40"
4765,Blood: Genotype per person: PCR,"R1,273.70"
4766,HIV drug resistance testing,"R10,888.20"
4767,Prenatal diagnosis: Amniotic fluid or chorionic tiss,"R1,910.30"
4768,Prenatal diagnosis: Amniotic fluid or chorionic tiss,"R3,990.30"
4769,Prenatal diagnosis: Amniotic fluid or chorionic tiss,"R2,546.80"
5003,Traveling expenses: Rx per km in excess of 16km,R0.00
5005,Travelling costs: Specialists (normal hours),R0.00
4024,sdLDL cholesterol (small dense LDL cholestrol),R391.00
4420,Estrone,R739.00
4422,ProPSA and phi score,R0.00
4174,Voriconazole assay,R941.20
4557,Placental Growth Factor (PLGF): Quantitative only,"R1,050.70"
4556,First Trimester Pre-eclampsia screening (FTPS) including PLGF + PAPP-A measurement,"R1,219.30"
4615,Aspergillus galactomannan,"R1,553.50"
4616,Bilharzia serum antigen (CAA),"R1,553.50"
4104,Procollagen-3 N-peptide (P3NP),"R3,134.60"
4558,sFlt-1/ Placental Growth Factor (PLGF) ratio,"R1,856.30"
3859,Thromboelestography (TEG)/Thromboelastome - Rapid/Point of Care,"R2,746.10"
4236,Ethyl Glucuronide Semi-quantitive,R296.40
5595,SARS - COV2 - Rapid Ag,R159.30
