"GEMS TARIFF FOR SERVICES BY HOMEOPATHS
WITH EFFECT FROM 2026-01-01",,008 - Homeopaths
,"MEDICINE CODE USAGE:

Licensed Practitioners
201: as medicine dispensed to patients may only be used by a practitioner licensed to dispense medicine.
202-204: as compounded medicines which are dispensed to patients may only be used by a practitioner licensed to compound and dispense medicine
221-224: may be used by a licensed practitioner in the administration or usage of a medicine or material during the consultation. Items 222-224 specifically require a compounding license.
209: the use or administration of proprietary materials during a consultation.

Unlicensed Practitioners:
221: administered proprietary medicine (consonant with the homoeopathic scope of practice) to patients during the consultation as administration does not warrant a dispensing license as per Regulation 18, Act 101 of 1965, which states:

Regulation 18, Act 101
(8) For the purposes of this regulation, \""compounding and dispensing\"" does not refer to a medicine requiring preparation for a once-off administration to a patient during a consultation. 

209: the use or administration of proprietary materials during a consultation
400: a dispensing code allowing the dispensing of proprietary Homoeopathic medicine to a patient for an emergency medical condition on a once-off basis by an unlicensed practitioner. This should only be used bearing in mind the understanding of the term “emergency medical condition” where failure to such an act would prove a danger to the patient or community or as defined by the Regulations to the Medical Schemes Act, 1998 (Act 131 of 1998):

\""Emergency Medical Condition\"" means the sudden and, at the time, unexpected onset of a health condition that requires immediate medical or surgical treatment, where failure to provide medical or surgical treatment would result in serious impairment to bodily functions or serious dysfunction of a bodily organ or part, or would place the person’s life in serious jeopardy.

Reflection of NAPPI/NHRPL codes on electronic and paper claims:
1. NAPPI Codes are only relevant for Items 201, 221 and, if applicable, 209
2. Due to the nature of non-proprietary medicine, no NAPPI codes exist for items 202-204 and 222-224 and the inclusion of the NHRPL codes should be regarded as sufficient
3. For electronic claims each NHRPL and/or NAPPI code should be reflected on its own line followed by consecutive columns: the Single Exit Price (SEP) or NHRPL value (VAT inclusive) of the specific medicine and the total amount reflecting a VAT inclusive amount.",
,"Items 201 and 209 provide for the charge of material and medicine used in treatment.

· All materials used should be specified on all accounts.
· Medicine, bandages and other essential materials for home-use by the patient must be obtained from a chemist on prescription or, if a chemist is not readily available, the practitioner may supply it from own stock provided a relevant prescription is attached to the account. 
· Not appropriate for items such as spatulas that are normally used in examinations in the rooms.
· Not appropriate for items such as syringes, needles and gloves, etc.
· Practitioners are not allowed to sell sphygmomanometers (blood pressure meters) or electro-medical devices to patients.
· For side room testing by practitioners no extra charge in terms of item 201 is applicable for material or kits used.

The amount charged in respect of proprietary medicines shall be at net acquisition price.

In relation to all other materials, items are to be charged (exclusive of VAT) at net acquisition price plus -

* 26% of the net acquisition price where the net acquisition price of that material is less than one hundred rands; and

* a maximum of twenty six rands where the net acquisition price of that material is greater than or equal to one hundred rands.",
,ITEMS,
1,Consultations,
003,Hospital Visit,R482.00
010,Home Visit,R482.00
301,Consultation (initial or follow up). Duration 5 - 15 mins,R132.90
302,Consultation (initial or follow up). Duration 16 - 30 mins,R298.60
303,Consultation (initial or follow up). Duration 31 - 45 mins,R497.60
304,Consultation (initial or follow up). Duration 46 - 60 mins,R696.30
004,"Consultation, each additional full 15 mins, to a maximum of 60 mins",R198.90
107,"Appointment not kept (schemes will not necessarily grant benefits in respect of this item, it will fall into the \""By arrangement with the scheme\"" or \""Patient own account\"" category).",R0.00
2,Medicines and Materials,
2.1,Licensed practitioner in licensed area:,
,Dispensed Medicine:,
,"Codes 201 - 204 are to allow for the dispensing of medicine - either proprietary or non-proprietary. 
Code 201 requires only a Dispensing License
Codes 202 - 204 require a combined Compounding and Dispensing license", 
201,"Proprietary (dispensed) medicine, all forms related to homoeopathic scope of practice. The amount charged in respect of proprietary homeopathic medicines shall be at cost using appropriate NAPPI code.", 
202,Non-proprietary (compounded and dispensed) Homoeopathic Medicine - Tablets & Capsules (each),R2.87
203,Non-proprietary (compounded and dispensed) Homoeopathic Medicine - Liquid drops (per ml),R6.20
204,Non-proprietary (compounded and dispensed) Homoeopathic Medicine - Pillules & granules (per ml),R6.20
,Administered Medicine/Materials:,
221,"Proprietary (administered) medicine, all forms related to homoeopathic scope of practice. The amount charged in respect of proprietary homeopathic medicines shall be at cost using appropriate NAPPI code.", 
222,Non-proprietary (compounded and administered) Homoeopathic Medicine - Tablets & Capsules (each),R2.87
223,Non-proprietary (compounded and administered) Homoeopathic Medicine - Liquid drops (per ml),R6.20
224,Non-proprietary (compounded and administered) Homoeopathic Medicine - Pillules & granules (per ml),R6.20
209,Proprietary Materials (administered), 
2.2,Unlicensed practitioner OR licensed practitioner in unlicensed area:,
,Dispensed Medicine:,
400,"Once off dispensing: Once off dispensing of proprietary homeopathic medicine, all forms, by unlicensed Homoeopathic practitioners or licensed homoeopathic practitioner in an unlicensed area. The amount charged in respect of proprietary homeopathic medicines shall be at cost using appropriate NAPPI code. To be used as emergency only.", 
,Administered Medicine:,
221,"Proprietary (administered) medicine, all forms related to homoeopathic scope of practice. The amount charged in respect of proprietary homeopathic medicines shall be at cost using appropriate NAPPI code.", 
209,Proprietary Materials (administered), 
